"","local","rep","block","gen","ap","ae","acam","prolif","dec","prod"
"363",1,3,31,303,232,136,0,0,6,6220.56034482759
"364",1,3,31,206,228,137,1,0,6,6793.66379310345
"365",1,3,31,285,225,126,2,0,4,6914.87068965517
"366",1,3,31,282,218,130,1,1,4,6859.06609195402
"367",1,3,31,304,264,138,0,0,5,5459.19540229885
"368",1,3,31,310,261,149,0,0,7,7116.09195402299
"369",1,3,31,296,237,140,0,0,4,6004.65517241379
"370",1,3,31,328,263,144,0,0,6,7010.48850574713
"371",1,3,31,211,252,136,1,0,6,4889.48275862069
"372",1,3,31,324,251,147,1,1,4,6123.18965517241
"373",1,3,32,295,270,146,1,0,3,3641.59482758621
"374",1,3,32,207,252,145,1,0,9,6178.52011494253
"375",1,3,32,242,236,138,1,0,7,4783.18965517241
"376",1,3,32,205,244,135,0,0,6,6085.28735632184
"377",1,3,32,225,269,152,2,0,5,6340.86206896552
"378",1,3,32,248,281,152,0,0,2,5056.55172413793
"379",1,3,32,278,251,143,0,1,11,6399.65517241379
"380",1,3,32,272,264,141,2,0,2,3894.25287356322
"381",1,3,32,246,238,130,0,0,7,7003.62068965517
"382",1,3,32,236,272,147,0,0,8,7646.26436781609
"383",1,3,32,251,236,133,0,1,8,6220.86206896552
"384",1,3,32,210,242,140,3,0,3,6386.81034482759
"385",1,3,33,266,241.4,133.6,0,2,2,6650.38793103448
"386",1,3,33,255,262.4,145.4,0,0,4,6031.55172413793
"387",1,3,33,292,247,138.8,0,0,3,6404.94252873563
"388",1,3,33,268,277.8,153.2,0,0,4,7596.7816091954
"389",1,3,33,299,241.4,134.8,0,2,3,2994.43965517241
"390",1,3,33,227,276.4,162.8,0,0,6,1578.30459770115
"391",1,3,33,221,260.4,140.6,0,0,4,5874.39655172414
"392",1,3,33,339,259.4,141.2,0,0,2,4369.8275862069
"393",1,3,33,289,247.8,142,0,1,3,6928.59195402299
"394",1,3,33,284,238.8,140,0,1,4,5857.91666666667
"395",1,3,33,239,281.4,154.8,0,0,4,7262.5
"396",1,3,33,274,257,132.2,0,0,1,3963.79310344828
"397",1,3,34,326,258,142.2,1,0,4,4081.22126436782
"398",1,3,34,217,265.4,140,1,1,2,5795.85057471264
"399",1,3,34,315,253.2,135.2,1,0,3,5025.86206896552
"400",1,3,34,277,236.4,141.4,1,0,3,4367.27011494253
"401",1,3,34,286,262,144.4,0,0,1,7570.28735632184
"402",1,3,34,264,237,123.6,0,1,3,6203.44827586207
"403",1,3,34,305,260.8,144.4,1,0,3,7028.76436781609
"404",1,3,34,334,236.8,131.8,1,0,1,6277.29885057471
"405",1,3,34,209,247.2,131.8,0,1,1,5976.26436781609
"406",1,3,34,237,258.2,142.6,1,0,3,6499.55459770115
"407",1,3,34,313,245.6,131.8,2,0,2,4701.86781609195
"408",1,3,34,204,229.6,127.4,1,1,2,7470.45977011494
"409",1,3,35,228,267.4,149,0,0,1,6737.78735632184
"410",1,3,35,269,252.2,134.8,0,0,3,5534.71264367816
"411",1,3,35,340,259.2,130.4,0,0,4,5527.24137931035
"412",1,3,35,249,274.2,140.8,0,0,3,5533.33333333333
"413",1,3,35,314,264,138.6,0,0,2,4187.57183908046
"414",1,3,35,235,252.6,132.6,0,0,2,6692.78735632184
"415",1,3,35,212,239.2,136,0,1,2,6518.62068965517
"416",1,3,35,252,265.8,153.6,1,0,4,7021.83908045977
"417",1,3,35,322,260.4,145,0,0,3,7545.86206896552
"418",1,3,35,265,269,146.4,0,1,4,6030.60344827586
"419",1,3,35,294,236.8,142.2,0,0,2,6330.34482758621
"420",1,3,35,301,263.8,143,0,0,1,5838.49137931034
"421",1,3,36,319,263.4,145.2,0,0,3,4206.03448275862
"422",1,3,36,341,272.4,151.2,0,1,3,7054.31034482759
"423",1,3,36,223,253.6,138,0,0,3,7114.29597701149
"424",1,3,36,281,244.6,139.8,0,0,4,7708.96551724138
"425",1,3,36,311,238.2,135,2,0,3,5206.75287356322
"426",1,3,36,273,257.6,139.4,0,0,4,6495.68965517241
"427",1,3,36,332,253.8,137.6,1,0,4,6271.25
"428",1,3,36,263,264,133.8,1,0,3,6225.43103448276
"429",1,3,36,219,260.4,141,0,1,4,5947.87356321839
"430",1,3,36,344,243.6,136.2,1,0,3,7343.14655172414
"431",1,3,36,297,250.2,129.6,1,0,3,7870.11494252874
"432",1,3,36,202,252.6,137.6,0,0,0,5424.8275862069
"433",2,1,1,239,258,159,2,0,4,6862.06896551724
"434",2,1,1,229,224,122,2,0,6,5729.65517241379
"435",2,1,1,341,300,164,5,1,6,7302.58620689655
"436",2,1,1,291,306,149,2,2,0,8322.91666666667
"437",2,1,1,211,296,146,3,0,4,7413.75
